stemming_data
agua
aguas
comunidad
comunidades
contingencia
guardería
polo
polos
zona
zonas
micro
pequeña
mediana
médico
médicos
médica
médicas
comedor
comedores
parto
partos
ganado
mar
marino
mares
marinos
cooperativa
cooperativas
asistencia
calidad
permanencia
permanecer
permanecen
productividad
seguridad
financiamiento
ocupación
ocupaciones
transferencia
transferencias
comercio
comercialización
comida
comidas
recursos naturales
cuencas
cuenca
río
ríos
acuíferos
sustentable
sustentables
sostenible
sostenibles
biogas
informa
informativa
informativas
informe
informes
informativo
informativos
informar
informada
informadas
informado
informados
información
informando
consulta
consultas
pública
públicas
público
públicos
participen
participantes
participativa
participa
participan
participando
vía
vías
directivo
directivos
directiva
directivas
director
directores
directora
directoras
pisa
enlace
excale
exani
planea
maestro
maestros
maestras
maestras
útil
útiles
alimentación
alimentos
alimentarios
alimentario
alimentaria
alimentarias
alimento
alimentos
campesino
campesinos
campesina
campesinas
campo
extensionismo
talla
tallas
alumbramiento
alumbramientos
consulta
consultas
hospital
hospitales
hospitalaria
hospitalario
medicina
medicinas
medicamento
medicamentos
vida
medición
mediciones
ingreso
ingresos
licencia
licencias
educativo
educativos
estudiante
estudiantes
educativa
educativas
competencia
competencias
